[2021-01-25 15:57:37] main.ERROR: Error: Application is not installed yet.  [] []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_36","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_1","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_3","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_9","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_10","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_11","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_17","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_18","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_19","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_20","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_27","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_28","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_29","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_30","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_31","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_32","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_33","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_34","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_35","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_32","FPC"],"mode":"matchingTag"}} []
[2021-01-25 16:00:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.peter.com/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
